redhat jgroups	Product redhat jgroups
CVE-2020-7656	jquery prior 1.9.0 allows Cross-site Scripting attacks via load method . load method fails recognize remove `` < script > '' HTML tags contain whitespace character , i.e : `` < /script > '' , results enclosed script logic executed .
redhat syndesis	Product redhat syndesis
CVE-2019-14860	found Syndesis configuration Cross-Origin Resource Sharing set allow origins . attacker could use lack protection conduct phishing attacks access unauthorized information .
CVE-2018-1000423	insufficiently protected credentials vulnerability exists Jenkins Crowd 2 Integration Plugin 2.0.0 earlier CrowdSecurityRealm.java , CrowdConfigurationService.java allows attackers local file system access obtain credentials used connect Crowd 2 .
jenkins jms_messaging	Product jenkins jms_messaging
CVE-2019-1003028	server-side request forgery vulnerability exists Jenkins JMS Messaging Plugin 1.1.1 earlier SSLCertificateAuthenticationMethod.java , UsernameAuthenticationMethod.java allows attackers Overall/Read permission Jenkins connect JMS endpoint .
CVE-2020-9483	* * Resolved * * use H2/MySQL/TiDB Apache SkyWalking storage , metadata query GraphQL protocol , SQL injection vulnerability , allows access unpexcted data . Apache SkyWalking 6.0.0 6.6.0 , 7.0.0 H2/MySQL/TiDB storage implementations n't use appropriate way set SQL parameters .
CVE-2009-4610	Multiple cross-site scripting ( XSS ) vulnerabilities Mort Bay Jetty 6.x 7.0.0 allow remote attackers inject arbitrary web script HTML via ( 1 ) query string jsp/dump.jsp JSP Dump feature , ( 2 ) Name ( 3 ) Value parameter default URI Session Dump Servlet session/ .
plotly plotly.js	Product plotly plotly.js
CVE-2017-1000006	Plotly , Inc. plotly.js versions prior 1.16.0 vulnerable XSS issue .
CVE-2012-2378	Apache CXF 2.4.5 2.4.7 , 2.5.1 2.5.3 , 2.6.x 2.6.1 , properly enforce child policies WS-SecurityPolicy 1.1 SupportingToken policy client side , allows remote attackers bypass ( 1 ) AlgorithmSuite , ( 2 ) SignedParts , ( 3 ) SignedElements , ( 4 ) EncryptedParts , ( 5 ) EncryptedElements policies .
CVE-2017-17383	Jenkins 2.93 allows remote authenticated administrators conduct XSS attacks via crafted tool name job configuration form , demonstrated JDK tool Jenkins core Ant tool Ant plugin , aka SECURITY-624 .
CVE-2020-4076	Electron versions 7.2.4 , 8.2.4 , 9.0.0-beta21 , context isolation bypass . Code running main world context renderer reach isolated Electron context perform privileged actions . Apps using contextIsolation affected . fixed versions 9.0.0-beta.21 , 8.2.4 7.2.4 .
CVE-2016-1000342	Bouncy Castle JCE Provider version 1.55 earlier ECDSA fully validate ASN.1 encoding signature verification . possible inject extra elements sequence making signature still validate , cases may allow introduction 'invisible ' data signed structure .
CVE-2014-3625	Directory traversal vulnerability Pivotal Spring Framework 3.0.4 3.2.x 3.2.12 , 4.0.x 4.0.8 , 4.1.x 4.1.2 allows remote attackers read arbitrary files via unspecified vectors , related static resource handling .
CVE-2020-35490	FasterXML jackson-databind 2.x 2.9.10.8 mishandles interaction serialization gadgets typing , related org.apache.commons.dbcp2.datasources.PerUserPoolDataSource .
CVE-2017-15683	Crafter CMS Crafter Studio 3.0.1 unauthenticated attacker able create site specially crafted XML allows retrieval OS files out-of-band .
apache myfaces_trinidad	Product apache myfaces_trinidad
CVE-2016-5019	CoreResponseStateManager Apache MyFaces Trinidad 1.0.0 1.0.13 , 1.2.x 1.2.15 , 2.0.x 2.0.2 , 2.1.x 2.1.2 might allow attackers conduct deserialization attacks via crafted serialized view state string .
CVE-2016-5007	Spring Security 3.2.x , 4.0.x , 4.1.0 Spring Framework 3.2.x , 4.0.x , 4.1.x , 4.2.x rely URL pattern mappings authorization mapping requests controllers respectively . Differences strictness pattern matching mechanisms , example regards space trimming path segments , lead Spring Security recognize certain paths protected fact mapped Spring MVC controllers protected . problem compounded fact Spring Framework provides richer features regards pattern matching well fact pattern matching Spring Security Spring Framework easily customized creating additional differences .
CVE-2018-8009	Apache Hadoop 3.1.0 , 3.0.0-alpha 3.0.2 , 2.9.0 2.9.1 , 2.8.0 2.8.4 , 2.0.0-alpha 2.7.6 , 0.23.0 0.23.11 exploitable via zip slip vulnerability places accept zip file .
CVE-2017-3163	using Index Replication feature , Apache Solr nodes pull index files master/leader node using HTTP API accepts file name . However , Solr 5.5.4 6.x 6.4.1 validate file name , hence possible craft special request involving path traversal , leaving file readable Solr server process exposed . Solr servers protected restricted firewall rules and/or authentication would risk since trusted clients users would gain direct HTTP access .
CVE-2020-1758	flaw found Keycloak versions 10.0.0 , perform TLS hostname verification sending emails using SMTP server . flaw allows attacker perform man-in-the-middle ( MITM ) attack .
oracle jdbc	Product oracle jdbc
CVE-2016-3506	Unspecified vulnerability JDBC component Oracle Database Server 11.2.0.4 , 12.1.0.1 , 12.1.0.2 ; Oracle Retail Xstore Point Service 5.5 , 6.0 , 6.5 , 7.0 , 7.1 , 15.0 , 16.0 ; Oracle Retail Warehouse Management System 14.04 , 14.1.3 , 15.0.1 ; Oracle Retail Workforce Management 1.60.7 , 1.64.0 ; Oracle Retail Clearance Optimization Engine 13.4 ; Oracle Retail Markdown Optimization 13.4 14.0 ; Oracle Retail Merchandising System 16.0 allows remote attackers affect confidentiality , integrity , availability via unknown vectors .
CVE-2020-10968	FasterXML jackson-databind 2.x 2.9.10.4 mishandles interaction serialization gadgets typing , related org.aoju.bus.proxy.provider.remoting.RmiProvider ( aka bus-proxy ) .
openid openid4java	Product openid openid4java
kay_framework_project kay_framework	Product kay_framework_project kay_framework
CVE-2011-4314	message/ax/AxMessage.java OpenID4Java 0.9.6 final , used JBoss Enterprise Application Platform 5.1 5.1.2 , Step2 , Kay Framework 1.0.2 , possibly products verify Attribute Exchange ( AX ) information signed , allows remote attackers modify potentially sensitive AX information without detection via man-in-the-middle ( MITM ) attack .
CVE-2016-0782	administration web console Apache ActiveMQ 5.x 5.11.4 , 5.12.x 5.12.3 , 5.13.x 5.13.2 allows remote authenticated users conduct cross-site scripting ( XSS ) attacks consequently obtain sensitive information Java memory dump via vectors related creating queue .
jenkins applatix	Product jenkins applatix
CVE-2020-2133	Jenkins Applatix Plugin 1.1 earlier stores password unencrypted job config.xml files Jenkins master viewed users Extended Read permission , access master file system .
CVE-2020-27218	Eclipse Jetty version 9.4.0.RC0 9.4.34.v20201102 , 10.0.0.alpha0 10.0.0.beta2 , 11.0.0.alpha0 11.0.0.beta2 , GZIP request body inflation enabled requests different clients multiplexed onto single connection , attacker send request body received entirely consumed application , subsequent request connection see body prepended body . attacker see data may inject data body subsequent request .
oracle communications_cloud_native_core_network_exposure_function	Product oracle communications_cloud_native_core_network_exposure_function
CVE-2022-22947	spring cloud gateway versions prior 3.1.1+ 3.0.7+ , applications vulnerable code injection attack Gateway Actuator endpoint enabled , exposed unsecured . remote attacker could make maliciously crafted request could allow arbitrary remote execution remote host .
facebook react	Product facebook react
CVE-2018-6341	React applications rendered HTML using ReactDOMServer API escaping user-supplied attribute names render-time . lack escaping could lead cross-site scripting vulnerability . issue affected minor releases 16.0.x , 16.1.x , 16.2.x , 16.3.x , 16.4.x . fixed 16.0.1 , 16.1.2 , 16.2.1 , 16.3.3 , 16.4.2 .
CVE-2011-1498	Apache HttpClient 4.x 4.1.1 Apache HttpComponents , used authenticating proxy server , sends Proxy-Authorization header origin server , allows remote web servers obtain sensitive information logging header .
CVE-2018-13003	issue discovered OpenTSDB 2.3.0 . XSS parameter 'type ' /suggest URI .
CVE-2018-1000609	exposure sensitive information vulnerability exists Jenkins Configuration Code Plugin 0.7-alpha earlier ConfigurationAsCode.java allows attackers Overall/Read access obtain YAML export Jenkins configuration .
CVE-2020-10776	flaw found Keycloak version 12.0.0 , possible add unsafe schemes redirect_uri parameter . flaw allows attacker perform Cross-site scripting attack .
CVE-2012-4449	Apache Hadoop 0.23.4 , 1.x 1.0.4 , 2.x 2.0.2 generate token passwords using 20-bit secret Kerberos security features enabled , makes easier context-dependent attackers crack secret keys via brute-force attack .
vmware spring_cloud_netflix	Product vmware spring_cloud_netflix
CVE-2020-5412	Spring Cloud Netflix , versions 2.2.x prior 2.2.4 , versions 2.1.x prior 2.1.6 , older unsupported versions allow applications use Hystrix Dashboard proxy.stream endpoint make requests server reachable server hosting dashboard . malicious user , attacker , send request servers exposed publicly .
CVE-2018-11764	Web endpoint authentication check broken Apache Hadoop 3.0.0-alpha4 , 3.0.0-beta1 , 3.0.0 . Authenticated users may impersonate user even proxy user configured .
CVE-2016-1000229	swagger-ui XSS key names
CVE-2017-3153	Apache Atlas versions 0.6.0-incubating 0.7.0-incubating found vulnerable Reflected XSS search functionality .
dreamerslab node.extend	Product dreamerslab node.extend
CVE-2018-16491	prototype pollution vulnerability found node.extend < 1.1.7 , ~ < 2.0.1 allows attacker inject arbitrary properties onto Object.prototype .
CVE-2021-39151	XStream simple library serialize objects XML back . affected versions vulnerability may allow remote attacker load execute arbitrary code remote host manipulating processed input stream . user affected , followed recommendation setup XStream 's security framework whitelist limited minimal required types . XStream 1.4.18 uses longer blacklist default , since secured general purpose .
ruby-lang ruby	Product ruby-lang ruby
CVE-2013-1821	lib/rexml/text.rb REXML parser Ruby 1.9.3-p392 allows remote attackers cause denial service ( memory consumption crash ) via crafted text nodes XML document , aka XML Entity Expansion ( XEE ) attack .
jenkins digitalocean	Product jenkins digitalocean
CVE-2020-2126	Jenkins DigitalOcean Plugin 1.1 earlier stores token unencrypted global config.xml file Jenkins master viewed users access master file system .
CVE-2017-1000427	marked version 0.3.6 earlier vulnerable XSS attack data : URI parser .
red5 media_server	Product red5 media_server
CVE-2017-5878	AMF unmarshallers Red5 Media Server 1.0.8 restrict classes performs deserialization , allows remote attackers execute arbitrary code via crafted serialized Java data .
restlet restlet_framework	Product restlet restlet_framework
CVE-2014-1868	Restlet Framework 2.1.x 2.1.7 2.x.x 2.2 RC1 , using XMLRepresentation XML serializers , allows attackers cause denial service via XML Entity Expansion ( XEE ) attack .
CVE-2017-1000081	Linux foundation ONOS 1.9.0 vulnerable unauthenticated upload applications ( .oar ) resulting remote code execution .
CVE-2020-2232	Jenkins Email Extension Plugin 2.72 2.73 transmits displays SMTP password plain text part global Jenkins configuration form , potentially resulting exposure .
CVE-2021-34429	Eclipse Jetty versions 9.4.37-9.4.42 , 10.0.1-10.0.5 & 11.0.1-11.0.5 , URIs crafted using encoded characters access content WEB-INF directory and/or bypass security constraints . variation vulnerability reported CVE-2021-28164/GHSA-v7ff-8wcx-gmc5 .
CVE-2012-0213	UnhandledDataStructure function hwpf/model/UnhandledDataStructure.java Apache POI 3.8 earlier allows remote attackers cause denial service ( OutOfMemoryError exception possibly JVM destabilization ) via crafted length value Channel Definition Format ( CDF ) Compound File Binary Format ( CFBF ) document .
CVE-2017-8045	Pivotal Spring AMQP versions prior 1.7.4 , 1.6.11 , 1.5.7 , org.springframework.amqp.core.Message may unsafely deserialized converted string . malicious payload could crafted exploit enable remote code execution attack .
CVE-2018-1000866	sandbox bypass vulnerability exists Pipeline : Groovy Plugin 2.59 earlier groovy-sandbox/src/main/java/org/kohsuke/groovy/sandbox/SandboxTransformer.java , groovy-cps/lib/src/main/java/com/cloudbees/groovy/cps/SandboxCpsTransformer.java allows attackers Job/Configure permission , unauthorized attackers SCM commit privileges corresponding pipelines based Jenkinsfiles set Jenkins , execute arbitrary code Jenkins master JVM
duraspace dspace	Product duraspace dspace
CVE-2016-10726	XMLUI feature DSpace 3.6 , 4.x 4.5 , 5.x 5.5 allows directory traversal via themes/ path attack two arbitrary characters colon pathname , demonstrated themes/Reference/aa : etc/passwd URI .
CVE-2017-1000048	web framework using ljharb 's qs module older v6.3.2 , v6.2.3 , v6.1.2 , v6.0.4 vulnerable DoS . malicious user send evil request cause web framework crash .
agiletestware pangolin_connector_for_testrail	Product agiletestware pangolin_connector_for_testrail
CVE-2018-1999032	data modification vulnerability exists Jenkins Agiletestware Pangolin Connector TestRail Plugin 2.1 earlier GlobalConfig.java allows attackers Overall/Read permission override plugin 's configuration sending crafted HTTP requests unprotected endpoint .
CVE-2017-12632	malicious host header incoming HTTP request could cause NiFi load resources external server . fix sanitize host headers compare controlled whitelist applied Apache NiFi 1.5.0 release . Users running prior 1.x release upgrade appropriate release .
CVE-2016-8737	Apache Brooklyn 0.10.0 , REST server vulnerable cross-site request forgery ( CSRF ) , could permit malicious web site produce link , clicked whilst user logged Brooklyn , would cause server execute attacker 's commands user . known proof-of-concept exploit using vulnerability .
CVE-2020-2246	Jenkins Valgrind Plugin 0.28 earlier escape content Valgrind XML reports , resulting stored cross-site scripting ( XSS ) vulnerability exploitable attackers able control Valgrind XML report contents .
CVE-2017-5647	bug handling pipelined requests Apache Tomcat 9.0.0.M1 9.0.0.M18 , 8.5.0 8.5.12 , 8.0.0.RC1 8.0.42 , 7.0.0 7.0.76 , 6.0.0 6.0.52 , send file used , results pipelined request lost send file processing previous request completed . could result responses appearing sent wrong request . example , user agent sent requests , B C could see correct response request , response request C request B response request C .
CVE-2018-1000850	Square Retrofit version versions ( including ) 2.0 2.5.0 ( excluding ) contains Directory Traversal vulnerability RequestBuilder class , method addPathParameter result manipulating URL attacker could add delete resources otherwise unavailable .. attack appear exploitable via attacker access encoded path parameter POST , PUT DELETE request .. vulnerability appears fixed 2.5.0 later .
CVE-2018-8012	authentication/authorization enforced server attempts join quorum Apache ZooKeeper 3.4.10 , 3.5.0-alpha 3.5.3-beta . result arbitrary end point could join cluster begin propagating counterfeit changes leader .
CVE-2018-1000197	improper authorization vulnerability exists Jenkins Black Duck Hub Plugin 3.0.3 older PostBuildScanDescriptor.java allows users Overall/Read permission read write Black Duck Hub plugin configuration .
CVE-2018-1000644	Eclipse RDF4j version < 2.4.0 Milestone 2 contains XML External Entity ( XXE ) vulnerability RDF4j XML parser parsing RDF files result disclosure confidential data , denial service , server side request forgery , port scanning . attack appear exploitable via Specially crafted RDF file .
jenkins open_stf	Product jenkins open_stf
CVE-2019-1003094	Jenkins Open STF Plugin stores credentials unencrypted global configuration file Jenkins master viewed users access master file system .
CVE-2020-2121	Jenkins Google Kubernetes Engine Plugin 0.8.0 earlier configure YAML parser prevent instantiation arbitrary types , resulting remote code execution vulnerability .
jenkins codefresh_integration	Product jenkins codefresh_integration
CVE-2019-10381	Jenkins Codefresh Integration Plugin 1.8 earlier disables SSL/TLS hostname verification globally Jenkins master JVM .
nordicsemi dfu_library	Product nordicsemi dfu_library
nordicsemi android_ble_library	Product nordicsemi android_ble_library
CVE-2020-15509	Nordic Semiconductor Android BLE Library 2.2.1 DFU Library 1.10.4 Android ( used nRF Connect applications ) engage unencrypted communication showing user communication purportedly encrypted . problem bond creation ( e.g. , internalCreateBond BleManagerHandler ) .
CVE-2020-1954	Apache CXF ability integrate JMX registering InstrumentationManager extension CXF bus . ‘ createMBServerConnectorFactory ‘ property default InstrumentationManagerImpl disabled , vulnerable man-in-the-middle ( MITM ) style attack . attacker host connect registry rebind entry another server , thus acting proxy original . able gain access information sent received JMX .
CVE-2019-12404	Apache JSPWiki , version 2.11.0.M4 , carefully crafted plugin link invocation could trigger XSS vulnerability Apache JSPWiki , related InfoContent.jsp , could allow attacker execute javascript victim 's browser get sensitive information victim .
CVE-2011-5245	readFrom function providers.jaxb.JAXBXmlTypeProvider RESTEasy 2.3.2 allows remote attackers read arbitrary files via external entity reference Java Architecture XML Binding ( JAXB ) input , aka XML external entity ( XXE ) injection attack , similar vulnerability CVE-2012-0818 .
apache sling_xss_protection_api	Product apache sling_xss_protection_api
apache sling_xss_protection_api_compat	Product apache sling_xss_protection_api_compat
CVE-2017-15717	flaw way URLs escaped encoded org.apache.sling.xss.impl.XSSAPIImpl # getValidHref org.apache.sling.xss.impl.XSSFilterImpl # isValidHref allows special crafted URLs pass valid , although carry XSS payloads . affected versions Apache Sling XSS Protection API 1.0.4 1.0.18 , Apache Sling XSS Protection API Compat 1.1.0 Apache Sling XSS Protection API 2.0.0 .
CVE-2014-0113	CookieInterceptor Apache Struts 2.3.20 , wildcard cookiesName value used , properly restrict access getClass method , allows remote attackers `` manipulate '' ClassLoader execute arbitrary code via crafted request . NOTE : vulnerability exists incomplete fix CVE-2014-0094 .
CWE-704	Incorrect Type Conversion Cast
CVE-2019-10355	sandbox bypass vulnerability Jenkins Script Security Plugin 1.61 earlier related handling type casts allowed attackers execute arbitrary code sandboxed scripts .
oracle identity_analytics	Product oracle identity_analytics
oracle enterprise_manager_for_oracle_database	Product oracle enterprise_manager_for_oracle_database
oracle configuration_manager	Product oracle configuration_manager
oracle utilities_work_and_asset_management	Product oracle utilities_work_and_asset_management
oracle autovue_vuelink_integration	Product oracle autovue_vuelink_integration
oracle in-memory_performance-driven_planning	Product oracle in-memory_performance-driven_planning
CVE-2017-5645	Apache Log4j 2.x 2.8.2 , using TCP socket server UDP socket server receive serialized log events another application , specially crafted binary payload sent , deserialized , execute arbitrary code .
CVE-2018-12545	Eclipse Jetty version 9.3.x 9.4.x , server vulnerable Denial Service conditions remote client sends either large SETTINGs frames container containing many settings , many small SETTINGs frames . vulnerability due additional CPU memory allocations required handle changed settings .
broadcom brocade_sannav	Product broadcom brocade_sannav
CVE-2022-23302	JMSSink versions Log4j 1.x vulnerable deserialization untrusted data attacker write access Log4j configuration configuration references LDAP service attacker access . attacker provide TopicConnectionFactoryBindingName configuration causing JMSSink perform JNDI requests result remote code execution similar fashion CVE-2021-4104 . Note issue affects Log4j 1.x specifically configured use JMSSink , default . Apache Log4j 1.2 reached end life August 2015 . Users upgrade Log4j 2 addresses numerous issues previous versions .
jasypt_project jasypt	Product jasypt_project jasypt
CVE-2014-9970	jasypt 1.9.2 allows timing attack password hash comparison .
CVE-2022-23596	Junrar open source java RAR archive library . affected versions carefully crafted RAR archive trigger infinite loop extracting said archive . impact depends solely application uses library , whether files provided malignant users . problem patched 7.4.1 . known workarounds users advised upgrade soon possible .
CVE-2017-9805	REST Plugin Apache Struts 2.1.1 2.3.x 2.3.34 2.5.x 2.5.13 uses XStreamHandler instance XStream deserialization without type filtering , lead Remote Code Execution deserializing XML payloads .
CVE-2018-19907	Server-Side Template Injection issue discovered Crafter CMS 3.0.18 . Attackers developer privileges may execute OS commands Creating/Editing template file ( .ftl filetype ) triggers call freemarker.template.utility.Execute FreeMarker library rendering web page .
CVE-2020-1961	Vulnerability Server-Side Template Injection Mail templates Apache Syncope 2.0.X releases prior 2.0.15 , 2.1.X releases prior 2.1.6 , enabling attackers inject arbitrary JEXL expressions , leading Remote Code Execution ( RCE ) discovered .
ethereum ethereumj	Product ethereum ethereumj
CVE-2018-15890	issue discovered EthereumJ 1.8.2 . Unsafe Deserialization ois.readObject mine/Ethash.java decoder.readObject crypto/ECKey.java . node syncs mines new block , arbitrary OS commands run server .
CVE-2012-2945	Hadoop 1.0.3 contains symlink vulnerability .
CVE-2019-10468	cross-site request forgery vulnerability Jenkins ElasticBox Jenkins Kubernetes CI/CD Plugin allows attackers connect attacker-specified URL using attacker-specified credentials IDs obtained another method , capturing credentials stored Jenkins .
chownr_project chownr	Product chownr_project chownr
CVE-2017-18869	TOCTOU issue chownr package 1.1.0 Node.js 10.10 could allow local attacker trick descending unintended directories via symlink attacks .
antfin sofa-hessian	Product antfin sofa-hessian
CVE-2019-9212	* * DISPUTED * * SOFA-Hessian 4.0.2 allows remote attackers execute arbitrary commands via crafted serialized Hessian object blacklisting com.caucho.naming.QName com.sun.org.apache.xpath.internal.objects.XString mishandled , related Resin Gadget . NOTE : vendor ’ consider issue vulnerability blacklist misused . SOFA Hessian supports custom blacklist disclaimer posted encouraging users update blacklist use whitelist feature specific needs since blacklist actively updated .
CVE-2006-1548	Cross-site scripting ( XSS ) vulnerability ( 1 ) LookupDispatchAction possibly ( 2 ) DispatchAction ( 3 ) ActionDispatcher Apache Software Foundation ( ASF ) Struts 1.2.9 allows remote attackers inject arbitrary web script HTML via parameter name , filtered resulting error message .
jenkins log_parser	Product jenkins log_parser
CVE-2019-10410	Jenkins Log Parser Plugin 2.0 earlier escape error message , resulting cross-site scripting vulnerability exploitable users able define log parsing rules .
CVE-2010-1632	Apache Axis2 1.5.2 , used IBM WebSphere Application Server ( ) 7.0 7.0.0.12 , IBM Feature Pack Web Services 6.1.0.9 6.1.0.32 , IBM Feature Pack Web 2.0 1.0.1.0 , Apache Synapse , Apache ODE , Apache Tuscany , Apache Geronimo , products , properly reject DTDs SOAP messages , allows remote attackers read arbitrary files , send HTTP requests intranet servers , cause denial service ( CPU memory consumption ) via crafted DTD , demonstrated entity declaration request Synapse SimpleStockQuoteService .
CVE-2019-20444	HttpObjectDecoder.java Netty 4.1.44 allows HTTP header lacks colon , might interpreted separate header incorrect syntax , might interpreted `` invalid fold . ''
decompress_project decompress	Product decompress_project decompress
CVE-2020-12265	decompress package 4.2.1 Node.js vulnerable Arbitrary File Write via .. / archive member , symlink used , Directory Traversal .
CVE-2017-1000386	Jenkins Active Choices plugin version 1.5.3 earlier allowed users Job/Configure permission provide arbitrary HTML shown 'Build Parameters ' page 'Active Choices Reactive Reference Parameter ' type . could include , example , arbitrary JavaScript . Active Choices sanitizes HTML inserted 'Build Parameters ' page script executed sandbox . unsandboxed scripts subject administrator approval , administrator allow disallow problematic script output .
shibboleth shibboleth-identity-provider	Product shibboleth shibboleth-identity-provider
CVE-2011-1411	Shibboleth OpenSAML library 2.4.x 2.4.3 2.5.x 2.5.1 , IdP 2.3.2 , allows remote attackers forge messages bypass authentication via `` XML Signature wrapping attack . ''
nuxeo nuxeo	Product nuxeo nuxeo
CVE-2013-4521	RichFaces implementation Nuxeo Platform 5.6.0 HF27 5.8.0 HF-01 restrict classes deserialization methods called , allows remote attackers execute arbitrary code via crafted serialized data . NOTE : vulnerability may overlap CVE-2013-2165 .
CVE-2021-21344	XStream Java library serialize objects XML back . XStream version 1.4.16 , vulnerability may allow remote attacker load execute arbitrary code remote host manipulating processed input stream . user affected , followed recommendation setup XStream 's security framework whitelist limited minimal required types . rely XStream 's default blacklist Security Framework , use least version 1.4.16 .
CVE-2017-15681	Crafter CMS Crafter Studio 3.0.1 directory traversal vulnerability exists allows unauthenticated attackers overwrite files operating system lead RCE .
oracle primavera_web_services	Product oracle primavera_web_services
CVE-2009-2625	XMLScanner.java Apache Xerces2 Java , used Sun Java Runtime Environment ( JRE ) JDK JRE 6 Update 15 JDK JRE 5.0 Update 20 , products , allows remote attackers cause denial service ( infinite loop application hang ) via malformed XML input , demonstrated Codenomicon XML fuzzing framework .
CVE-2016-3082	XSLTResult Apache Struts 2.x 2.3.20.2 , 2.3.24.x 2.3.24.2 , 2.3.28.x 2.3.28.1 allows remote attackers execute arbitrary code via stylesheet location parameter .
CVE-2020-2244	Jenkins Build Failure Analyzer Plugin 1.27.0 earlier escape matching text form validation response , resulting cross-site scripting ( XSS ) vulnerability exploitable attackers able provide console output builds used test build log indications .
geti2p i2p	Product geti2p i2p
CVE-2020-13431	I2P 0.9.46 allows local users gain privileges via Trojan horse I2PSvc.exe file weak permissions certain % PROGRAMFILES % subdirectory .
CVE-2021-37136	Bzip2 decompression decoder function n't allow setting size restrictions decompressed output data ( affects allocation size used decompression ) . users Bzip2Decoder affected . malicious input trigger OOME DoS attack
CVE-2018-11766	Apache Hadoop 2.7.4 2.7.6 , security fix CVE-2016-6811 incomplete . user escalate yarn user possibly run arbitrary commands root user .
CVE-2019-1003091	missing permission check Jenkins SOASTA CloudTest Plugin CloudTestServer.DescriptorImpl # doValidate form validation method allows attackers Overall/Read permission initiate connection attacker-specified server .
CVE-2013-4152	Spring OXM wrapper Spring Framework 3.2.4 4.0.0.M1 , using JAXB marshaller , disable entity resolution , allows context-dependent attackers read arbitrary files , cause denial service , conduct CSRF attacks via XML external entity declaration conjunction entity reference ( 1 ) DOMSource , ( 2 ) StAXSource , ( 3 ) SAXSource , ( 4 ) StreamSource , aka XML External Entity ( XXE ) issue .
CVE-2017-11341	heap based buffer over-read lexer.hpp LibSass 3.4.5 . crafted input lead remote denial service attack .
redhat wildfly_core	Product redhat wildfly_core
CVE-2019-14838	flaw found wildfly-core 7.2.5.GA . Management users Monitor , Auditor Deployer Roles allowed modify runtime state server
CVE-2013-2071	java/org/apache/catalina/core/AsyncContextImpl.java Apache Tomcat 7.x 7.0.40 properly handle throwing RuntimeException AsyncListener application , allows context-dependent attackers obtain sensitive request information intended applications opportunistic circumstances via application records requests processes .
CVE-2014-3664	Directory traversal vulnerability Jenkins 1.583 LTS 1.565.3 allows remote authenticated users Overall/READ permission read arbitrary files via unspecified vectors .
CVE-2021-39154	XStream simple library serialize objects XML back . affected versions vulnerability may allow remote attacker load execute arbitrary code remote host manipulating processed input stream . user affected , followed recommendation setup XStream 's security framework whitelist limited minimal required types . XStream 1.4.18 uses longer blacklist default , since secured general purpose .
CVE-2020-5207	Ktor 1.3.0 , request smuggling possible running behind proxy n't handle Content-Length Transfer-Encoding properly n't handle \n headers separator .
jenkins confluence_publisher	Product jenkins confluence_publisher
CVE-2018-1999039	server-side request forgery vulnerability exists Jenkins Confluence Publisher Plugin 2.0.1 earlier ConfluenceSite.java allows attackers Jenkins submit login requests attacker-specified Confluence server URL attacker specified credentials .
CVE-2019-1003029	sandbox bypass vulnerability exists Jenkins Script Security Plugin 1.53 earlier src/main/java/org/jenkinsci/plugins/scriptsecurity/sandbox/groovy/GroovySandbox.java , src/main/java/org/jenkinsci/plugins/scriptsecurity/sandbox/groovy/SecureGroovyScript.java allows attackers Overall/Read permission execute arbitrary code Jenkins master JVM .
CVE-2017-7687	handling decoding failure malformed URL path HTTP request , libprocess Apache Mesos 1.1.3 , 1.2.x 1.2.2 , 1.3.x 1.3.1 , 1.4.0-dev might crash code accidentally calls inappropriate function . malicious actor therefore cause denial service Mesos masters rendering Mesos-controlled cluster inoperable .
CVE-2021-35043	OWASP AntiSamy 1.6.4 allows XSS via HTML attributes using HTML output serializer ( XHTML affected ) . demonstrated javascript : URL & # 00058 replacement : character .
jenkins neuvector_vulnerability_scanner	Product jenkins neuvector_vulnerability_scanner
CVE-2019-10430	Jenkins NeuVector Vulnerability Scanner Plugin 1.5 earlier stored credentials unencrypted global configuration file Jenkins master could viewed users access master file system .
CVE-2018-8024	Apache Spark 2.1.0 2.1.2 , 2.2.0 2.2.1 , 2.3.0 , 's possible malicious user construct URL pointing Spark cluster 's UI 's job stage info pages , user tricked accessing URL , used cause script execute expose information user 's view Spark UI . browsers like recent versions Chrome Safari able block type attack , current versions Firefox ( possibly others ) .
CVE-2018-10862	WildFly Core version 6.0.0.Alpha3 properly validate file paths .war archives , allowing extraction crafted .war archives overwrite arbitrary files . instance 'Zip Slip ' vulnerability .
CVE-2019-16574	missing permission check Jenkins Alauda DevOps Pipeline Plugin 2.3.2 earlier allows attackers Overall/Read permission connect attacker-specified URL using attacker-specified credentials IDs obtained another method , capturing credentials stored Jenkins .
jenkins google_oauth_credentials	Product jenkins google_oauth_credentials
CVE-2019-10436	arbitrary file read vulnerability Jenkins Google OAuth Credentials Plugin 0.9 earlier allowed attackers able configure jobs credentials Jenkins obtain contents file Jenkins master .
linecorp armeria	Product linecorp armeria
CVE-2019-16771	Versions Armeria 0.85.0 including 0.96.0 vulnerable HTTP response splitting , allows remote attackers inject arbitrary HTTP headers via CRLF sequences unsanitized data used populate headers HTTP response . vulnerability patched 0.97.0 . Potential impacts vulnerability include cross-user defacement , cache poisoning , Cross-site scripting ( XSS ) , page hijacking .
CVE-2014-3600	XML external entity ( XXE ) vulnerability Apache ActiveMQ 5.x 5.10.1 allows remote consumers unspecified impact via vectors involving XPath based selector dequeuing XML messages .
CVE-2020-4077	Electron versions 7.2.4 , 8.2.4 , 9.0.0-beta21 , context isolation bypass . Code running main world context renderer reach isolated Electron context perform privileged actions . Apps using ` contextIsolation ` ` contextBridge ` affected . fixed versions 9.0.0-beta.21 , 8.2.4 7.2.4 .
linuxfoundation dojo	Product linuxfoundation dojo
